"cm","Number_of_terms","Rank"
"Shürhozelie Liezietsu",1,8
"Siddhartha Shankar Ray",1,8
"Sri Krishna Sinha",2,7
"Sripati Mishra",1,8
"Subramanyan Ramaswamy",2,7
"Sucheta Kriplani",1,8
"Sudhakarrao Naik",1,8
"Sudhir Ranjan Majumdar",1,8
"Sukhamoy Sen Gupta",1,8
"Sukhvinder Singh Sukhu",1,8
"Sunderlal Patwa",2,7
"Suresh Mehta",1,8
"Surjit Singh Barnala",1,8
"Sushilkumar Shinde",1,8
"Sushma Swaraj",1,8
"Suvendu Adhikari",1,8
"Syed Mir Qasim",2,7
"T. R. Zeliang",2,7
"T. Sailo",2,7
"Tanguturi Anjaiah",1,8
"Tanguturi Prakasam",1,8
"Tarun Gogoi",3,6
"Thakur Ram Lal",2,7
"Thepfülo-u Nakhro",1,8
"Tika Ram Paliwal",1,8
"Tikhatmal Jain",1,8
"Tirath Singh Rawat",1,8
"Tomo Riba",1,8
"Tribhuvana Narayana Singh",1,8
"Trivendra Singh Rawat",1,8
"UN DHEBAR",1,8
"Uddhav Thackeray",1,8
"Uma Bharti",1,8
"V. Narayanasamy",1,8
"V. P. Singh",1,8
"V. S. Achuthanandan",1,8
"V. Vaithilingam",2,7
"V. Venkatasubha Reddiar",2,7
"V.R. Nedunchezhiyan",2,7
"VD Satheesan",1,8
"Vamüzo Phesao",1,8
"Vasantdada Patil",3,6
"Vasantrao Naik",3,6
"Vasundhara Raje Scindia",2,7
"Veerendra Patil",2,7
"Vijay Bahuguna",1,8
"Vijay Rupani",2,7
"Vilasrao Deshmukh",2,7
"Vir Bahadur Singh",1,8
"Virbhadra Singh",5,4
"Virendra Kumar Saklecha",1,8
"Vishnu Deo Sai",1,8
"Vizol Koso",2,7
"Wahengbam Nipamacha Singh",1,8
"Wilfred de Souza",3,6
"Williamson A. Sangma",5,4
"Y Khemchand Singh",1,8
"Y. S. Jaganmohan Reddy",1,8
"Y. S. Rajasekhara Reddy",2,7
"Yangmaso Shaiza",2,7
"Yashvant Rao Chauhan",2,7
"Yashwant Singh Parmar",5,4
"Yashwantrao Chavan",1,8
"Yogi Adityanath",2,7
"Zail Singh",1,8
"Zoramthanga",3,6
